Benchmark Time 
1 0.07
2 0.1
3 0.42
4 0.03
5 0.13
6 0.4
7 200
8 200
9 200
10 0.09
11 0.22
12 0.16
13 0.03
14 200
15 0.08
16 0.08
17 0.53
18 0.1
19 200
20 0.55
21 0.39
22 0.3
23 0.32
24 0.1
25 0.57
26 3.28
27 7.29
28 0.04
29 200
30 200
31 2
32 0.14
33 0.5
34 0.38
