Benchmark Time 
1 1.28
2 200
3 0.06
4 0.56
5 0.04
6 0.05
7 0.05
8 0.06
9 0.06
10 0.05
11 200
12 0.24
13 200
14 0.32
15 200
16 0.06
17 0.08
18 0.09
19 2.34
20 5.24
21 0.05
22 0.07
23 0.12
24 0.08
25 0.05
26 0.05
27 0.09
28 0.06
29 0.05
30 0.12
31 0.2
32 0.05
33 12.23
34 22.34
