Benchmark Time
1 0.000807 
2 0.001026 
3 0.002092 
4 0.018037 
5 0.080716 
6 0.088903 
7 0.126179 
8 0.291702 
9 0.295349 
10 0.516001 
11 0.517077 
12 0.949504 
13 1.10799 
14 1.40568 
15 1.61921 
16 2.21996 
17 3.15872 
18 4.26054 
19 5.30481 
20 7.88958 
21 21.6387 
22 200
